season,week,teamOwner,teamName,teamWeekTotal,teamWeekRank,teamRecordPre,teamMatchupResult,teamRecordPost,teamOwnerOpponent,teamNameOpponent,teamWeekTotalOpponent,teamWeekRankOpponent,teamRecordPreOpponent,teamRecordPostOpponent
2020,10,Kameron,Drunken Monkeys,101.5,4,6-3-0,Win,7-3-0,Mike,COVIC-TORY,72.88,11,5-4-0,5-5-0
2020,10,Colin,Im a scientist,121.38,1,8-1-0,Win,9-1-0,AJ,Kamala-ver Muhfingas,74.02,10,3-6-0,3-7-0
2020,10,Mike,Mr Pig Skinner,86.48,8,5-4-0,Loss,5-5-0,Sam,Highly Questionable,88.61,7,3-6-0,4-6-0
2020,10,Matthew,Turf Muncher,91.38,5,4-5-0,Win,5-5-0,Rob,Shakin Bacon,90.39,6,3-6-0,3-7-0
2020,10,Brian,DaHazzelhoffs,111.5,2,3-6-0,Win,4-6-0,Alex,FERDA PUPPERS,78.96,9,7-2-0,7-3-0
2020,11,Rob,Shakin Bacon,81.14,11,3-7-0,Loss,3-8-0,Sam,Highly Questionable,116.6,3,4-6-0,5-6-0
2020,11,Aaron,Ryan Leaf's Ghost,62.77,12,2-8-0,Loss,2-9-0,Mike,COVIC-TORY,122.76,1,5-5-0,6-5-0
2020,11,AJ,Kamala-ver Muhfingas,91.36,9,3-7-0,Loss,3-8-0,Brian,DaHazzelhoffs,95.72,8,4-6-0,5-6-0
2020,11,Colin,Im a scientist,104.54,6,9-1-0,Loss,9-2-0,Kameron,Drunken Monkeys,121.74,2,7-3-0,8-3-0
2020,11,Matthew,Turf Muncher,109.82,4,5-5-0,Win,6-5-0,Alex,FERDA PUPPERS,101.64,7,7-3-0,7-4-0
2020,11,dan,Tarin Holez,88.18,10,6-4-0,Loss,6-5-0,Mike,Mr Pig Skinner,106.95,5,5-5-0,6-5-0
2020,11,Sam,Highly Questionable,116.6,3,4-6-0,Win,5-6-0,Rob,Shakin Bacon,81.14,11,3-7-0,3-8-0
2020,11,Mike,COVIC-TORY,122.76,1,5-5-0,Win,6-5-0,Aaron,Ryan Leaf's Ghost,62.77,12,2-8-0,2-9-0
2020,11,Brian,DaHazzelhoffs,95.72,8,4-6-0,Win,5-6-0,AJ,Kamala-ver Muhfingas,91.36,9,3-7-0,3-8-0
2020,11,Kameron,Drunken Monkeys,121.74,2,7-3-0,Win,8-3-0,Colin,Im a scientist,104.54,6,9-1-0,9-2-0
2020,11,Alex,FERDA PUPPERS,101.64,7,7-3-0,Loss,7-4-0,Matthew,Turf Muncher,109.82,4,5-5-0,6-5-0
2020,11,Mike,Mr Pig Skinner,106.95,5,5-5-0,Win,6-5-0,dan,Tarin Holez,88.18,10,6-4-0,6-5-0
2020,12,dan,Tarin Holez,98.6,8,6-5-0,Loss,6-6-0,Alex,FERDA PUPPERS,143.38,2,7-4-0,8-4-0
2020,12,Colin,Im a scientist,97.14,9,9-2-0,Loss,9-3-0,Sam,Highly Questionable,117.52,4,5-6-0,6-6-0
2020,12,Brian,DaHazzelhoffs,118.7,3,5-6-0,Win,6-6-0,Kameron,Drunken Monkeys,108.14,6,8-3-0,8-4-0
2020,12,Matthew,Turf Muncher,145.5,1,6-5-0,Win,7-5-0,Mike,COVIC-TORY,72.9,11,6-5-0,6-6-0
2020,12,Mike,Mr Pig Skinner,110.88,5,6-5-0,Win,7-5-0,AJ,Kamala-ver Muhfingas,102.42,7,3-8-0,3-9-0
2020,12,Aaron,Ryan Leaf's Ghost,67.7,12,2-9-0,Loss,2-10-0,Rob,Shakin Bacon,87.4,10,3-8-0,4-8-0
2020,12,Alex,FERDA PUPPERS,143.38,2,7-4-0,Win,8-4-0,dan,Tarin Holez,98.6,8,6-5-0,6-6-0
2020,12,Sam,Highly Questionable,117.52,4,5-6-0,Win,6-6-0,Colin,Im a scientist,97.14,9,9-2-0,9-3-0
2020,12,Kameron,Drunken Monkeys,108.14,6,8-3-0,Loss,8-4-0,Brian,DaHazzelhoffs,118.7,3,5-6-0,6-6-0
2020,12,Mike,COVIC-TORY,72.9,11,6-5-0,Loss,6-6-0,Matthew,Turf Muncher,145.5,1,6-5-0,7-5-0
2020,12,AJ,Kamala-ver Muhfingas,102.42,7,3-8-0,Loss,3-9-0,Mike,Mr Pig Skinner,110.88,5,6-5-0,7-5-0
